case,subcase_id,n_clusters,n_obs_per_cluster,subcase_label,method,GP_method,chosen_GP_method,chosen,rmw2_est,rmw2_emp_est,rel_rmw2_emp_bound,best_rel_rmw2_emp_bound,rel_to_best_gp_method
2re,4,500,2,"d=500, n_i=2",FACE-95,Empirical,FPC,FALSE,0.619840000898387,0.19563960158628635,3.1682747044698316,3.1682747044698316,1
2re,4,500,2,"d=500, n_i=2",FACE-95,FPC,FPC,TRUE,0.8257263768851488,0.19563960158628635,4.220650472552533,3.1682747044698316,1.3321605183407865
2re,4,500,2,"d=500, n_i=2",FACE-99,Direct,FPC,FALSE,0.9047566314143322,0.19563960158628635,4.6246088423733145,3.1682747044698316,1.4596615741207266
2re,4,500,2,"d=500, n_i=2",FACE-99,Empirical,FPC,FALSE,0.619840000898387,0.19563960158628635,3.1682747044698316,3.1682747044698316,1
2re,4,500,2,"d=500, n_i=2",FACE-99,FPC,FPC,TRUE,0.8988933243264331,0.19563960158628635,4.594638902543351,3.1682747044698316,1.4502021860860712
2re,4,500,2,"d=500, n_i=2",HGAM-GS,Empirical,Empirical,TRUE,0.9375065247870497,0.19563960158628635,4.792007943103303,4.792007943103303,1
2re,4,500,2,"d=500, n_i=2",Oracle-GP,Individual,Individual,TRUE,NA,0.19563960158628635,NA,NA,NA
2re,4,500,2,"d=500, n_i=2",PACE-AIC-GCV,Direct,FPC,FALSE,0.6704335163241258,0.19563960158628635,3.4268804009418963,3.4268804009418963,1
2re,4,500,2,"d=500, n_i=2",PACE-AIC-GCV,Empirical,FPC,FALSE,0.8184039393646214,0.19563960158628635,4.183222275698954,3.4268804009418963,1.2207085705556497
2re,4,500,2,"d=500, n_i=2",PACE-AIC-GCV,FPC,FPC,TRUE,0.743549095478357,0.19563960158628635,3.8006062650378922,3.4268804009418963,1.1090571658098356
2re,4,500,2,"d=500, n_i=2",PACE-AIC-default,Direct,FPC,FALSE,0.8737537378895067,0.19563960158628635,4.466139425785632,3.346093880202312,1.3347322536914592
2re,4,500,2,"d=500, n_i=2",PACE-AIC-default,Empirical,FPC,FALSE,0.7240493767985868,0.19563960158628635,3.7009346314746336,3.346093880202312,1.1060462628893326
2re,4,500,2,"d=500, n_i=2",PACE-AIC-default,FPC,FPC,TRUE,0.6546284735930913,0.19563960158628635,3.346093880202312,3.346093880202312,1
2re,4,500,2,"d=500, n_i=2",PACE-BIC-GCV,Direct,FPC,FALSE,0.6704335163241258,0.19563960158628635,3.4268804009418963,3.4268804009418963,1
2re,4,500,2,"d=500, n_i=2",PACE-BIC-GCV,Empirical,FPC,FALSE,0.8184039393646214,0.19563960158628635,4.183222275698954,3.4268804009418963,1.2207085705556497
2re,4,500,2,"d=500, n_i=2",PACE-BIC-GCV,FPC,FPC,TRUE,0.743549095478357,0.19563960158628635,3.8006062650378922,3.4268804009418963,1.1090571658098356
2re,4,500,2,"d=500, n_i=2",PACE-BIC-default,Direct,FPC,FALSE,0.8737537378895067,0.19563960158628635,4.466139425785632,3.346093880202312,1.3347322536914592
2re,4,500,2,"d=500, n_i=2",PACE-BIC-default,Empirical,FPC,FALSE,0.7240493767985868,0.19563960158628635,3.7009346314746336,3.346093880202312,1.1060462628893326
2re,4,500,2,"d=500, n_i=2",PACE-BIC-default,FPC,FPC,TRUE,0.6546284735930913,0.19563960158628635,3.346093880202312,3.346093880202312,1
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-GCV,Direct,FPC,FALSE,0.6704335163241258,0.19563960158628635,3.4268804009418963,3.4268804009418963,1
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-GCV,Empirical,FPC,FALSE,0.8184039393646214,0.19563960158628635,4.183222275698954,3.4268804009418963,1.2207085705556497
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-GCV,FPC,FPC,TRUE,0.743549095478357,0.19563960158628635,3.8006062650378922,3.4268804009418963,1.1090571658098356
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-default,Direct,FPC,FALSE,0.8737537378895067,0.19563960158628635,4.466139425785632,3.400899945585988,1.3132228225597207
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-default,Empirical,FPC,FALSE,0.6653507103892656,0.19563960158628635,3.400899945585988,3.400899945585988,1
2re,4,500,2,"d=500, n_i=2",PACE-FVE95-default,FPC,FPC,TRUE,0.6671555561209824,0.19563960158628635,3.410125305467539,3.400899945585988,1.0027126231377446
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-GCV,Direct,FPC,FALSE,0.6704335163241258,0.19563960158628635,3.4268804009418963,3.192160478683816,1.0735301134844133
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-GCV,Empirical,FPC,FALSE,0.7603800536508625,0.19563960158628635,3.8866366905552034,3.192160478683816,1.2175567978204318
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-GCV,FPC,FPC,TRUE,0.6245130042491909,0.19563960158628635,3.192160478683816,3.192160478683816,1
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-default,Direct,FPC,FALSE,0.8737537378895067,0.19563960158628635,4.466139425785632,3.3021239438217718,1.352505085141252
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-default,Empirical,FPC,FALSE,0.646026212757828,0.19563960158628635,3.3021239438217718,3.3021239438217718,1
2re,4,500,2,"d=500, n_i=2",PACE-FVE99-default,FPC,FPC,TRUE,0.8350902918878539,0.19563960158628635,4.26851355817927,3.3021239438217718,1.2926569779930883
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-GCV,Direct,FPC,FALSE,0.6704335163241258,0.19563960158628635,3.4268804009418963,3.192160478683816,1.0735301134844133
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-GCV,Empirical,FPC,FALSE,0.7603800536508625,0.19563960158628635,3.8866366905552034,3.192160478683816,1.2175567978204318
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-GCV,FPC,FPC,TRUE,0.6245130042491909,0.19563960158628635,3.192160478683816,3.192160478683816,1
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-default,Direct,FPC,FALSE,0.8737537378895067,0.19563960158628635,4.466139425785632,3.3021239438217718,1.352505085141252
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-default,Empirical,FPC,FALSE,0.646026212757828,0.19563960158628635,3.3021239438217718,3.3021239438217718,1
2re,4,500,2,"d=500, n_i=2",PACE-Oracle-default,FPC,FPC,TRUE,0.8350902918878539,0.19563960158628635,4.26851355817927,3.3021239438217718,1.2926569779930883
2re,4,500,2,"d=500, n_i=2",bayesFPCA-Oracle,Empirical,FPC,FALSE,0.44622693056019397,0.19563960158628635,2.280861987767782,2.280861987767782,1
2re,4,500,2,"d=500, n_i=2",bayesFPCA-Oracle,FPC,FPC,TRUE,0.46711144755841844,0.19563960158628635,2.387611934245328,2.280861987767782,1.046802457601575
2re,4,500,2,"d=500, n_i=2",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,0.7832183863418221,0.19563960158628635,4.003373447867024,4.003373447867024,1
2re,4,500,2,"d=500, n_i=2",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,0.7854182841024908,0.19563960158628635,4.014618092319536,4.003373447867024,1.0028087922845426
2re,4,500,2,"d=500, n_i=2",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,0.7832183863418221,0.19563960158628635,4.003373447867024,4.003373447867024,1
2re,4,500,2,"d=500, n_i=2",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,0.7854182841024908,0.19563960158628635,4.014618092319536,4.003373447867024,1.0028087922845426
2re,5,500,10,"d=500, n_i=10",AdaStruMM,Empirical,FPC,FALSE,0.1902110524413145,0.19135642645411963,0.9940144471025657,0.8510517280794503,1.1679835834958425
2re,5,500,10,"d=500, n_i=10",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.1903681415083694,0.19135642645411963,0.99483537101908,0.8510517280794503,1.1689481828138732
2re,5,500,10,"d=500, n_i=10",AdaStruMM,FPC,FPC,TRUE,0.16285421741288675,0.19135642645411963,0.8510517280794503,0.8510517280794503,1
2re,5,500,10,"d=500, n_i=10",FACE-95,Direct,FPC,FALSE,0.5625955250337026,0.19135642645411963,2.9400398798134573,1.3557534143725156,2.168565351667728
2re,5,500,10,"d=500, n_i=10",FACE-95,Empirical,FPC,FALSE,0.25943212852729586,0.19135642645411963,1.3557534143725156,1.3557534143725156,1
2re,5,500,10,"d=500, n_i=10",FACE-95,FPC,FPC,TRUE,0.35496134232795723,0.19135642645411963,1.8549747657054212,1.3557534143725156,1.368224299522757
2re,5,500,10,"d=500, n_i=10",FACE-99,Direct,FPC,FALSE,0.5625955250337026,0.19135642645411963,2.9400398798134573,1.3557534143725156,2.168565351667728
2re,5,500,10,"d=500, n_i=10",FACE-99,Empirical,FPC,FALSE,0.25943212852729586,0.19135642645411963,1.3557534143725156,1.3557534143725156,1
2re,5,500,10,"d=500, n_i=10",FACE-99,FPC,FPC,TRUE,0.56105259889735,0.19135642645411963,2.9319767791120945,1.3557534143725156,2.162618030705166
2re,5,500,10,"d=500, n_i=10",HGAM-GS,Empirical,Empirical,TRUE,0.35898631288580374,0.19135642645411963,1.8760086584908906,1.8760086584908906,1
2re,5,500,10,"d=500, n_i=10",Local-GAM,Empirical,Empirical,TRUE,0.5293861520711783,0.19135642645411963,2.766492674852005,2.766492674852005,1
2re,5,500,10,"d=500, n_i=10",Oracle-GP,Individual,Individual,TRUE,NA,0.19135642645411963,NA,NA,NA
2re,5,500,10,"d=500, n_i=10",PACE-AIC-GCV,Direct,FPC,FALSE,0.5782130189878872,0.19135642645411963,3.021654562129492,1.6108213515473695,1.8758471007519633
2re,5,500,10,"d=500, n_i=10",PACE-AIC-GCV,Empirical,FPC,FALSE,0.3082410174880998,0.19135642645411963,1.6108213515473695,1.6108213515473695,1
2re,5,500,10,"d=500, n_i=10",PACE-AIC-GCV,FPC,FPC,TRUE,0.3778403404269472,0.19135642645411963,1.97453698017056,1.6108213515473695,1.2257951375388723
2re,5,500,10,"d=500, n_i=10",PACE-AIC-default,Direct,FPC,FALSE,0.44510688723517955,0.19135642645411963,2.32606187042221,1.7278965977042988,1.346181173984971
2re,5,500,10,"d=500, n_i=10",PACE-AIC-default,Empirical,FPC,FALSE,0.3306441182189262,0.19135642645411963,1.7278965977042988,1.7278965977042988,1
2re,5,500,10,"d=500, n_i=10",PACE-AIC-default,FPC,FPC,TRUE,0.34287172002000293,0.19135642645411963,1.7917962117787103,1.7278965977042988,1.0369811562562883
2re,5,500,10,"d=500, n_i=10",PACE-BIC-GCV,Direct,FPC,FALSE,0.5782130189878872,0.19135642645411963,3.021654562129492,1.6108213515473695,1.8758471007519633
2re,5,500,10,"d=500, n_i=10",PACE-BIC-GCV,Empirical,FPC,FALSE,0.3082410174880998,0.19135642645411963,1.6108213515473695,1.6108213515473695,1
2re,5,500,10,"d=500, n_i=10",PACE-BIC-GCV,FPC,FPC,TRUE,0.3778403404269472,0.19135642645411963,1.97453698017056,1.6108213515473695,1.2257951375388723
2re,5,500,10,"d=500, n_i=10",PACE-BIC-default,Direct,FPC,FALSE,0.44510688723517955,0.19135642645411963,2.32606187042221,1.7278965977042988,1.346181173984971
2re,5,500,10,"d=500, n_i=10",PACE-BIC-default,Empirical,FPC,FALSE,0.3306441182189262,0.19135642645411963,1.7278965977042988,1.7278965977042988,1
2re,5,500,10,"d=500, n_i=10",PACE-BIC-default,FPC,FPC,TRUE,0.34287172002000293,0.19135642645411963,1.7917962117787103,1.7278965977042988,1.0369811562562883
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-GCV,Direct,FPC,FALSE,0.5782130189878872,0.19135642645411963,3.021654562129492,2.41796008656197,1.2496709846132732
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-GCV,Empirical,FPC,FALSE,0.46269220147319234,0.19135642645411963,2.41796008656197,2.41796008656197,1
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-GCV,FPC,FPC,TRUE,0.46323189900925615,0.19135642645411963,2.420780464983874,2.41796008656197,1.0011664288577709
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-default,Direct,FPC,FALSE,0.44510688723517955,0.19135642645411963,2.32606187042221,2.32606187042221,1
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-default,Empirical,FPC,FALSE,0.5971039994527191,0.19135642645411963,3.1203759942490517,2.32606187042221,1.3414845210814033
2re,5,500,10,"d=500, n_i=10",PACE-FVE95-default,FPC,FPC,TRUE,0.5915501348613083,0.19135642645411963,3.091352330427955,2.32606187042221,1.3290069235634023
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-GCV,Direct,FPC,FALSE,0.5782130189878872,0.19135642645411963,3.021654562129492,1.6512508381024964,1.8299185637972297
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-GCV,Empirical,FPC,FALSE,0.31597745955866374,0.19135642645411963,1.6512508381024964,1.6512508381024964,1
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-GCV,FPC,FPC,TRUE,0.5247147692756858,0.19135642645411963,2.7420807286108757,1.6512508381024964,1.6606082282216346
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-default,Direct,FPC,FALSE,0.44510688723517955,0.19135642645411963,2.32606187042221,1.734620553256152,1.3409629362778106
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-default,Empirical,FPC,FALSE,0.33193079032496514,0.19135642645411963,1.734620553256152,1.734620553256152,1
2re,5,500,10,"d=500, n_i=10",PACE-FVE99-default,FPC,FPC,TRUE,0.4154861296017122,0.19135642645411963,2.1712682312309526,1.734620553256152,1.2517251840208772
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-GCV,Direct,FPC,FALSE,0.5782130189878872,0.19135642645411963,3.021654562129492,1.6512508381024964,1.8299185637972297
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-GCV,Empirical,FPC,FALSE,0.31597745955866374,0.19135642645411963,1.6512508381024964,1.6512508381024964,1
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-GCV,FPC,FPC,TRUE,0.5247147692756858,0.19135642645411963,2.7420807286108757,1.6512508381024964,1.6606082282216346
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-default,Direct,FPC,FALSE,0.44510688723517955,0.19135642645411963,2.32606187042221,1.734620553256152,1.3409629362778106
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-default,Empirical,FPC,FALSE,0.33193079032496514,0.19135642645411963,1.734620553256152,1.734620553256152,1
2re,5,500,10,"d=500, n_i=10",PACE-Oracle-default,FPC,FPC,TRUE,0.4154861296017122,0.19135642645411963,2.1712682312309526,1.734620553256152,1.2517251840208772
2re,5,500,10,"d=500, n_i=10",bayesFPCA-Oracle,Empirical,FPC,FALSE,0.19591014485015834,0.19135642645411963,1.0237970497276743,0.9456782335553462,1.0826061269049565
2re,5,500,10,"d=500, n_i=10",bayesFPCA-Oracle,FPC,FPC,TRUE,0.18096160734859537,0.19135642645411963,0.9456782335553462,0.9456782335553462,1
2re,5,500,10,"d=500, n_i=10",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,0.5601117578478076,0.19135642645411963,2.927060084820837,2.878091930477481,1.017014103623588
2re,5,500,10,"d=500, n_i=10",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,0.5507413868226092,0.19135642645411963,2.878091930477481,2.878091930477481,1
2re,5,500,10,"d=500, n_i=10",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,0.5601117578478076,0.19135642645411963,2.927060084820837,2.878091930477481,1.017014103623588
2re,5,500,10,"d=500, n_i=10",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,0.5507413868226092,0.19135642645411963,2.878091930477481,2.878091930477481,1
3re,1,50,2,"d=50, n_i=2",AdaStruMM,Empirical,FPC,FALSE,1.0447921475101825,0.44323535962963334,2.3571949412682436,2.3571949412682436,1
3re,1,50,2,"d=50, n_i=2",AdaStruMM,EmpiricalCorrected,FPC,FALSE,1.0623060275724832,0.44323535962963334,2.39670866615909,2.3571949412682436,1.016763028037718
3re,1,50,2,"d=50, n_i=2",AdaStruMM,FPC,FPC,TRUE,1.0919377403759272,0.44323535962963334,2.4635618902073797,2.3571949412682436,1.0451243751956754
3re,1,50,2,"d=50, n_i=2",Di-95,Empirical,Empirical,TRUE,2.3616789724387894,0.29217663381763737,8.083052164646528,8.083052164646528,1
3re,1,50,2,"d=50, n_i=2",Di-99,Empirical,Empirical,TRUE,2.3616789724387894,0.29217663381763737,8.083052164646528,8.083052164646528,1
3re,1,50,2,"d=50, n_i=2",FACE-95,Direct,FPC,FALSE,1.305013130511841,0.44323535962963334,2.9442893085116397,2.9442893085116397,1
3re,1,50,2,"d=50, n_i=2",FACE-95,Empirical,FPC,FALSE,1.32836260214376,0.44323535962963334,2.996968931480867,2.9442893085116397,1.0178921354015504
3re,1,50,2,"d=50, n_i=2",FACE-95,FPC,FPC,TRUE,1.3134314172175805,0.44323535962963334,2.9632821224260657,2.9442893085116397,1.006450729505256
3re,1,50,2,"d=50, n_i=2",FACE-99,Direct,FPC,FALSE,1.305013130511841,0.44323535962963334,2.9442893085116397,2.9442893085116397,1
3re,1,50,2,"d=50, n_i=2",FACE-99,Empirical,FPC,FALSE,1.32836260214376,0.44323535962963334,2.996968931480867,2.9442893085116397,1.0178921354015504
3re,1,50,2,"d=50, n_i=2",FACE-99,FPC,FPC,TRUE,1.3220255730164636,0.44323535962963334,2.9826717212298806,2.9442893085116397,1.0130362232431716
3re,1,50,2,"d=50, n_i=2",Goldsmith-95,Empirical,Empirical,TRUE,17.936374711198376,0.44323535962963334,40.466930991665414,40.466930991665414,1
3re,1,50,2,"d=50, n_i=2",Goldsmith-99,Empirical,Empirical,TRUE,1.5058019465711299,0.44323535962963334,3.397296523971768,3.397296523971768,1
3re,1,50,2,"d=50, n_i=2",HGAM-GS,Empirical,Empirical,TRUE,1.499136623924627,0.44323535962963334,3.3822586383390147,3.3822586383390147,1
3re,1,50,2,"d=50, n_i=2",Oracle-GP,Individual,Individual,TRUE,NA,0.44323535962963334,NA,NA,NA
3re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,Direct,FPC,FALSE,1.3354310834603913,0.44323535962963334,3.012916398583983,3.012916398583983,1
3re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,Empirical,FPC,FALSE,1.3658385162616629,0.44323535962963334,3.0815197537555554,3.012916398583983,1.0227697506654398
3re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,FPC,FPC,TRUE,1.376826367571572,0.44323535962963334,3.1063098592180136,3.012916398583983,1.0309976940209573
3re,1,50,2,"d=50, n_i=2",PACE-AIC-default,Direct,FPC,FALSE,2.1107528456086078,0.44323535962963334,4.762149047342136,4.7044859744637355,1.0122570400233735
3re,1,50,2,"d=50, n_i=2",PACE-AIC-default,Empirical,FPC,FALSE,2.2163594124818355,0.44323535962963334,5.0004120030807595,4.7044859744637355,1.0629029462991983
3re,1,50,2,"d=50, n_i=2",PACE-AIC-default,FPC,FPC,TRUE,2.085194532764,0.44323535962963334,4.7044859744637355,4.7044859744637355,1
3re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,Direct,FPC,FALSE,1.3354310834603913,0.44323535962963334,3.012916398583983,3.012916398583983,1
3re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,Empirical,FPC,FALSE,1.3658385162616629,0.44323535962963334,3.0815197537555554,3.012916398583983,1.0227697506654398
3re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,FPC,FPC,TRUE,1.376826367571572,0.44323535962963334,3.1063098592180136,3.012916398583983,1.0309976940209573
3re,1,50,2,"d=50, n_i=2",PACE-BIC-default,Direct,FPC,FALSE,2.1107528456086078,0.44323535962963334,4.762149047342136,4.7044859744637355,1.0122570400233735
3re,1,50,2,"d=50, n_i=2",PACE-BIC-default,Empirical,FPC,FALSE,2.2163594124818355,0.44323535962963334,5.0004120030807595,4.7044859744637355,1.0629029462991983
3re,1,50,2,"d=50, n_i=2",PACE-BIC-default,FPC,FPC,TRUE,2.085194532764,0.44323535962963334,4.7044859744637355,4.7044859744637355,1
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,Direct,FPC,FALSE,1.3354310834603913,0.44323535962963334,3.012916398583983,3.012916398583983,1
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,Empirical,FPC,FALSE,1.3658385162616629,0.44323535962963334,3.0815197537555554,3.012916398583983,1.0227697506654398
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,FPC,FPC,TRUE,1.376826367571572,0.44323535962963334,3.1063098592180136,3.012916398583983,1.0309976940209573
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,Direct,FPC,FALSE,2.1107528456086078,0.44323535962963334,4.762149047342136,4.633390536328041,1.0277892636082726
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,Empirical,FPC,FALSE,2.192336760691924,0.44323535962963334,4.946213592985535,4.633390536328041,1.0675149340865633
3re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,FPC,FPC,TRUE,2.053682520673899,0.44323535962963334,4.633390536328041,4.633390536328041,1
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,Direct,FPC,FALSE,1.3354310834603913,0.44323535962963334,3.012916398583983,3.012916398583983,1
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,Empirical,FPC,FALSE,1.3658385162616629,0.44323535962963334,3.0815197537555554,3.012916398583983,1.0227697506654398
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,FPC,FPC,TRUE,1.376826367571572,0.44323535962963334,3.1063098592180136,3.012916398583983,1.0309976940209573
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,Direct,FPC,FALSE,2.1107528456086078,0.44323535962963334,4.762149047342136,4.728704059592467,1.0070727597515483
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,Empirical,FPC,FALSE,2.21988414234379,0.44323535962963334,5.0083642789661935,4.728704059592467,1.059140985743529
3re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,FPC,FPC,TRUE,2.0959288444355746,0.44323535962963334,4.728704059592467,4.728704059592467,1
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,Direct,FPC,FALSE,1.3354310834603913,0.44323535962963334,3.012916398583983,3.012916398583983,1
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,Empirical,FPC,FALSE,1.3658385162616629,0.44323535962963334,3.0815197537555554,3.012916398583983,1.0227697506654398
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,FPC,FPC,TRUE,1.376826367571572,0.44323535962963334,3.1063098592180136,3.012916398583983,1.0309976940209573
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,Direct,FPC,FALSE,2.1107528456086078,0.44323535962963334,4.762149047342136,4.728704059592467,1.0070727597515483
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,Empirical,FPC,FALSE,2.21988414234379,0.44323535962963334,5.0083642789661935,4.728704059592467,1.059140985743529
3re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,FPC,FPC,TRUE,2.0959288444355746,0.44323535962963334,4.728704059592467,4.728704059592467,1
3re,1,50,2,"d=50, n_i=2",bayesFPCA-Oracle,Empirical,FPC,FALSE,1.022972014714872,0.44323535962963334,2.3079657172876855,2.297081255613998,1.0047383877462264
3re,1,50,2,"d=50, n_i=2",bayesFPCA-Oracle,FPC,FPC,TRUE,1.0181476364305602,0.44323535962963334,2.297081255613998,2.297081255613998,1
3re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,2.3396507506407733,0.44323535962963334,5.278574237840098,5.27085208104533,1.0014650680148163
3re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,2.3362280176967283,0.44323535962963334,5.27085208104533,5.27085208104533,1
3re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,2.3396507506407733,0.44323535962963334,5.278574237840098,5.27085208104533,1.0014650680148163
3re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,2.3362280176967283,0.44323535962963334,5.27085208104533,5.27085208104533,1
3re,2,50,10,"d=50, n_i=10",AdaStruMM,Empirical,FPC,FALSE,0.5686631161473085,0.5649691634244033,1.006538326269907,0.8735383693612259,1.15225428163612
3re,2,50,10,"d=50, n_i=10",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.5683832964212465,0.5649691634244033,1.0060430430860146,0.8735383693612259,1.1516872966000138
3re,2,50,10,"d=50, n_i=10",AdaStruMM,FPC,FPC,TRUE,0.49352224175712917,0.5649691634244033,0.8735383693612259,0.8735383693612259,1
3re,2,50,10,"d=50, n_i=10",Di-95,Empirical,Empirical,TRUE,1.0057095948453634,0.5649691634244033,1.7801141371142004,1.7801141371142004,1
3re,2,50,10,"d=50, n_i=10",Di-99,Empirical,Empirical,TRUE,0.9255453505718361,0.5649691634244033,1.6382227747827875,1.6382227747827875,1
3re,2,50,10,"d=50, n_i=10",Di-Oracle,Empirical,Empirical,TRUE,0.9243303913774276,0.5649691634244033,1.6360722871578623,1.6360722871578623,1
3re,2,50,10,"d=50, n_i=10",FACE-95,Direct,FPC,FALSE,0.9224769455963964,0.5649691634244033,1.632791673097801,1.5552101427760576,1.0498849179206482
3re,2,50,10,"d=50, n_i=10",FACE-95,Empirical,FPC,FALSE,0.878645773313336,0.5649691634244033,1.5552101427760576,1.5552101427760576,1
3re,2,50,10,"d=50, n_i=10",FACE-95,FPC,FPC,TRUE,0.9655389767334597,0.5649691634244033,1.7090118173549755,1.5552101427760576,1.0988944647084034
3re,2,50,10,"d=50, n_i=10",FACE-99,Direct,FPC,FALSE,0.9224769455963964,0.5649691634244033,1.632791673097801,1.5552101427760576,1.0498849179206482
3re,2,50,10,"d=50, n_i=10",FACE-99,Empirical,FPC,FALSE,0.878645773313336,0.5649691634244033,1.5552101427760576,1.5552101427760576,1
3re,2,50,10,"d=50, n_i=10",FACE-99,FPC,FPC,TRUE,0.9199883122778689,0.5649691634244033,1.6283867719463057,1.5552101427760576,1.0470525668252313
3re,2,50,10,"d=50, n_i=10",Goldsmith-95,Empirical,Empirical,TRUE,1.146330925071708,0.5649691634244033,2.0290150317648172,2.0290150317648172,1
3re,2,50,10,"d=50, n_i=10",Goldsmith-99,Empirical,Empirical,TRUE,1.0611858412497173,0.5649691634244033,1.8783075430482519,1.8783075430482519,1
3re,2,50,10,"d=50, n_i=10",HGAM-GS,Empirical,Empirical,TRUE,0.6289582902361651,0.5649691634244033,1.113261273277128,1.113261273277128,1
3re,2,50,10,"d=50, n_i=10",Local-GAM,Empirical,Empirical,TRUE,0.7940295280197055,0.5649691634244033,1.4054387025424833,1.4054387025424833,1
3re,2,50,10,"d=50, n_i=10",Oracle-GP,Individual,Individual,TRUE,NA,0.5649691634244033,NA,NA,NA
3re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,Direct,FPC,FALSE,0.9664188221089757,0.5649691634244033,1.7105691508033767,1.7105691508033767,1
3re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,Empirical,FPC,FALSE,0.9708210830131931,0.5649691634244033,1.7183611882971301,1.7105691508033767,1.0045552309242183
3re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,FPC,FPC,TRUE,0.9863800886172502,0.5649691634244033,1.7459007543678702,1.7105691508033767,1.0206548817672176
3re,2,50,10,"d=50, n_i=10",PACE-AIC-default,Direct,FPC,FALSE,0.9828291471532502,0.5649691634244033,1.7396155591857527,1.727984967503624,1.0067307250357225
3re,2,50,10,"d=50, n_i=10",PACE-AIC-default,Empirical,FPC,FALSE,0.9762582215004671,0.5649691634244033,1.727984967503624,1.727984967503624,1
